body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
0.182240,0.010852,0.748052,0.707805,0.025906,0.052408,-0.703985,-0.119217,-0.554906,-0.057747,-0.172942,0.729089,-0.397960,0.181428,0.479885,0.162064,0.345374,0.704674,-0.377060,-0.031716,0.170318,0.392509,0.108607,-1.131736,-0.010570,-0.341305,-0.131815,-1.434789,2.183596,-0.692987,-0.953943,-1.249412,0.551623,0.346737,0.756320,0.089122,-0.722982,-1.022111,-0.244966,-0.454269,-0.068367,-1.042518,-0.258763,1.559482,0.252193,1.197090,-0.967411,0.589625,1.180246
0.182558,0.013005,0.747038,0.697686,0.027197,0.050610,-0.714096,-0.057149,-0.571481,-0.085224,-0.207777,0.743180,-0.388083,0.200386,0.483065,0.141280,0.317295,0.701022,-0.387654,-0.032869,0.142237,0.386578,0.145950,-1.127290,0.018820,-0.363411,-0.109866,-1.406952,2.542763,-0.499018,-1.120213,-1.147835,0.478694,0.453533,0.612841,0.219457,-0.879063,-0.944902,-0.091982,-0.392076,-0.207362,-0.913082,-0.177384,1.170368,0.128952,0.945408,-0.687265,0.765702,0.866947
0.182345,0.014804,0.746406,0.688884,0.029043,0.047982,-0.722698,-0.017507,-0.574867,-0.102556,-0.218855,0.748237,-0.379819,0.205941,0.488663,0.126902,0.307578,0.700995,-0.392743,-0.040010,0.133795,0.385414,0.155421,-1.126577,0.027247,-0.368795,-0.101187,-1.400112,2.829138,-0.529227,-1.340606,-1.641143,0.622292,0.441593,0.003673,0.240965,-1.026113,-1.360209,0.089151,-0.487877,-0.459809,-1.252676,-0.081237,1.272358,0.093845,1.150438,-0.714198,1.358973,0.905606
0.182119,0.016668,0.745358,0.680496,0.030728,0.046138,-0.730652,0.056016,-0.592650,-0.138848,-0.273423,0.768072,-0.370419,0.200533,0.492704,0.100236,0.262887,0.704588,-0.407170,-0.051261,0.092129,0.383329,0.196844,-1.123536,0.064838,-0.391979,-0.055507,-1.370728,3.086427,-1.005819,-1.538763,-2.616009,1.244469,0.214596,-0.501174,-0.041307,-1.086690,-2.178268,0.035998,-0.575180,-0.682536,-2.864903,-0.043692,2.767931,0.287494,2.417399,-1.628155,3.059136,2.160576
0.181227,0.018056,0.744345,0.676958,0.030555,0.045895,-0.733954,0.105950,-0.615099,-0.164106,-0.323496,0.798016,-0.371235,0.185894,0.487011,0.083434,0.220447,0.702435,-0.415750,-0.067312,0.019199,0.383666,0.266139,-1.115078,0.123943,-0.433922,0.021178,-1.313689,1.945065,-0.888711,-1.026968,-2.228401,1.233219,-0.018589,-0.733716,-0.437873,-0.669946,-2.072854,-0.145239,-0.369833,-0.671004,-3.283406,0.256307,2.799493,0.517765,2.198609,-1.795863,2.903820,2.807635
0.179804,0.018894,0.743815,0.678502,0.029763,0.044606,-0.732639,0.133819,-0.628199,-0.179927,-0.362559,0.817401,-0.371163,0.171185,0.475189,0.073438,0.179973,0.698778,-0.421963,-0.078101,-0.039207,0.393581,0.308824,-1.102826,0.152782,-0.463813,0.060646,-1.258423,0.606808,-0.510912,-0.476910,-1.366518,0.656597,-0.002269,-0.516326,-0.417276,-0.249428,-1.388309,-0.151707,-0.130799,-0.390703,-2.358116,0.517891,1.544719,0.612539,0.975432,-1.193505,1.348947,2.487034
0.178750,0.019178,0.743819,0.684185,0.029311,0.045021,-0.727327,0.130222,-0.635536,-0.183183,-0.378156,0.824280,-0.371326,0.165241,0.470320,0.073457,0.164915,0.696366,-0.420982,-0.082940,-0.075126,0.404382,0.327927,-1.090576,0.162960,-0.481662,0.075136,-1.214207,-0.551741,-0.308511,0.043934,-0.506987,0.209464,-0.040199,-0.141105,-0.180456,0.156994,-0.450215,-0.058821,0.093134,-0.169083,-1.224375,0.480387,0.466335,0.510076,0.208872,-0.554993,0.237965,1.671955
0.177751,0.018924,0.744001,0.691496,0.028564,0.046133,-0.720339,0.111749,-0.640539,-0.178169,-0.382838,0.825779,-0.372771,0.165540,0.467971,0.079718,0.161964,0.696425,-0.418237,-0.084865,-0.088182,0.412797,0.327478,-1.082423,0.161137,-0.486013,0.070164,-1.191544,-1.141630,-0.179981,0.377489,-0.036325,0.017643,-0.136185,0.096377,-0.117703,0.381855,0.032242,0.016356,0.151050,-0.002388,-0.432804,0.524376,-0.410061,0.494987,-0.294696,-0.083198,-0.639955,1.130101
0.177185,0.018818,0.744147,0.699264,0.027236,0.047136,-0.712787,0.084557,-0.642735,-0.168083,-0.379609,0.824986,-0.376773,0.169096,0.465612,0.088731,0.166205,0.697021,-0.414940,-0.083035,-0.092438,0.425357,0.311525,-1.070777,0.151172,-0.484990,0.049538,-1.169003,-1.397618,-0.079349,0.483854,0.124406,-0.062712,-0.189107,0.167409,-0.141402,0.426967,0.181004,0.038005,0.100756,0.122185,-0.089373,0.524806,-0.761642,0.490540,-0.451263,0.076707,-0.930416,0.889146
0.176466,0.018600,0.744186,0.707974,0.026071,0.047915,-0.704128,0.055845,-0.643713,-0.158815,-0.377862,0.823271,-0.380335,0.172237,0.462314,0.096796,0.169204,0.697946,-0.414207,-0.079977,-0.091757,0.433789,0.297012,-1.062801,0.143087,-0.482945,0.032948,-1.155979,-1.710528,-0.042999,0.527290,0.125226,-0.050536,-0.182166,0.086819,-0.216423,0.443380,0.200247,0.014326,0.031267,0.086736,0.151059,0.309535,-0.657284,0.292847,-0.340842,0.115857,-0.684902,0.401986
